epoch	losses 	correct
   10	0.67158	0.57166
   11	0.66486	0.60257
   12	0.66245	0.57527
   13	0.65695	0.59896
   14	0.66643	0.58571
   15	0.65607	0.59534
   16	0.65490	0.59053
   17	0.64932	0.59855
   18	0.64062	0.60578
   19	0.63948	0.61742
   20	0.64703	0.61020
   21	0.64537	0.61341
   22	0.63764	0.62063
   23	0.63527	0.62063
   24	0.64142	0.62706
   25	0.63560	0.62866
   26	0.63100	0.63830
   27	0.64203	0.62706
   28	0.63877	0.62505
   29	0.62491	0.63870
   30	0.63815	0.62465
   31	0.63264	0.62224
   32	0.62626	0.64793
   33	0.62245	0.63308
   34	0.64526	0.62023
   35	0.61716	0.64874
   36	0.61586	0.64713
   37	0.60765	0.66158
   38	0.61062	0.65355
   39	0.60647	0.65636
   40	0.62277	0.63549
   41	0.60080	0.67363
   42	0.59994	0.65998
   43	0.59155	0.66680
   44	0.60320	0.67644
   45	0.59407	0.67122
   46	0.60322	0.66600
   47	0.58755	0.68487
   48	0.60105	0.67162
   49	0.58400	0.67764
   50	0.57287	0.68928
   51	0.57795	0.68888
